Order_ID,Date,Product,Category,Region,Salesperson,Quantity,Unit_Price,Total_Sales
1001,2026-04-07,Headphones,Electronics,West,Neha,9,2839,25551
1002,2026-02-28,Monitor,Electronics,West,Priya,1,8827,8827
1003,2026-02-28,Smartwatch,Electronics,East,Karan,1,13422,13422
1004,2026-02-17,Keyboard,Electronics,Central,Priya,4,1055,4220
1005,2026-06-18,Headphones,Electronics,West,Karan,9,6643,59787
1006,2026-01-13,Speaker,Electronics,South,Rahul,6,5376,32256
1007,2026-04-17,Tablet,Electronics,South,Neha,3,20959,62877
1008,2026-02-14,Headphones,Electronics,North,Rohit,1,1326,1326
1009,2026-03-30,Smartwatch,Electronics,Central,Neha,4,5677,22708
1010,2026-06-30,Keyboard,Electronics,West,Karan,9,1303,11727
1011,2026-06-19,Monitor,Electronics,South,Aman,3,19641,58923
1012,2026-04-10,Smartwatch,Electronics,Central,Anjali,9,8524,76716
1013,2026-07-10,Smartwatch,Electronics,North,Vikas,7,7609,53263
1014,2026-06-04,Tablet,Electronics,East,Rohit,4,35530,142120
1015,2026-06-15,Mouse,Electronics,Central,Priya,3,1452,4356
1016,2026-07-07,Keyboard,Electronics,Central,Rohit,10,2130,21300
1017,2026-01-07,Mobile,Electronics,East,Anjali,5,46560,232800
1018,2026-05-13,Smartwatch,Electronics,Central,Priya,5,13553,67765
1019,2026-08-23,Mouse,Electronics,North,Anjali,3,1769,5307
1020,2026-02-14,Mobile,Electronics,North,Priya,9,13645,122805
1021,2026-02-27,Keyboard,Electronics,East,Rohit,4,3167,12668
1022,2026-08-31,Laptop,Electronics,West,Priya,5,70781,353905
1023,2026-01-31,Speaker,Electronics,South,Priya,4,4530,18120
1024,2026-01-23,Mouse,Electronics,West,Aman,5,1224,6120
1025,2026-06-19,Printer,Electronics,Central,Neha,7,10072,70504
1026,2026-05-18,Laptop,Electronics,South,Neha,9,46854,421686
1027,2026-06-09,Speaker,Electronics,East,Vikas,7,5521,38647
1028,2026-04-17,Tablet,Electronics,East,Vikas,5,19662,98310
1029,2026-06-30,Headphones,Electronics,South,Karan,10,7714,77140
1030,2026-06-07,Monitor,Electronics,North,Karan,10,10708,107080
1031,2026-02-08,Printer,Electronics,South,Karan,7,18694,130858
1032,2026-06-08,Tablet,Electronics,Central,Aman,10,38496,384960
1033,2026-03-23,Keyboard,Electronics,North,Vikas,5,2032,10160
1034,2026-04-10,Tablet,Electronics,East,Anjali,3,39777,119331
1035,2026-01-02,Headphones,Electronics,South,Karan,7,4707,32949
1036,2026-07-25,Keyboard,Electronics,West,Karan,2,3060,6120
1037,2026-03-18,Printer,Electronics,West,Rohit,9,11212,100908
1038,2026-08-09,Headphones,Electronics,Central,Rahul,10,6232,62320
1039,2026-01-12,Mobile,Electronics,West,Anjali,10,52738,527380
1040,2026-02-08,Monitor,Electronics,South,Karan,1,24920,24920
1041,2026-07-13,Printer,Electronics,South,Karan,6,8625,51750
1042,2026-08-12,Mobile,Electronics,West,Karan,7,19973,139811
1043,2026-01-13,Speaker,Electronics,South,Rahul,8,10077,80616
1044,2026-02-15,Printer,Electronics,Central,Rahul,10,15070,150700
1045,2026-06-04,Speaker,Electronics,North,Aman,9,10166,91494
1046,2026-04-23,Keyboard,Electronics,Central,Anjali,2,1117,2234
1047,2026-08-21,Mobile,Electronics,Central,Aman,10,48368,483680
1048,2026-01-17,Monitor,Electronics,South,Priya,2,14783,29566
1049,2026-04-14,Headphones,Electronics,North,Rahul,5,6234,31170
1050,2026-08-11,Smartwatch,Electronics,South,Rohit,5,11646,58230
1051,2026-04-08,Tablet,Electronics,East,Vikas,6,19971,119826
1052,2026-07-07,Laptop,Electronics,South,Rohit,3,74434,223302
1053,2026-07-11,Monitor,Electronics,South,Vikas,8,21490,171920
1054,2026-03-29,Mobile,Electronics,South,Rahul,1,13990,13990
1055,2026-04-19,Smartwatch,Electronics,North,Rahul,6,7799,46794
1056,2026-06-12,Monitor,Electronics,South,Rahul,4,20997,83988
1057,2026-08-28,Mobile,Electronics,North,Aman,1,31956,31956
1058,2026-03-11,Mouse,Electronics,West,Anjali,7,1584,11088
1059,2026-07-30,Mouse,Electronics,East,Vikas,9,576,5184
1060,2026-06-07,Speaker,Electronics,North,Anjali,4,5880,23520
1061,2026-07-18,Monitor,Electronics,West,Aman,4,12757,51028
1062,2026-03-15,Mouse,Electronics,North,Aman,6,1065,6390
1063,2026-08-21,Mobile,Electronics,North,Neha,3,22395,67185
1064,2026-08-12,Speaker,Electronics,East,Rohit,6,7088,42528
1065,2026-08-14,Mobile,Electronics,Central,Rohit,7,39696,277872
1066,2026-03-04,Speaker,Electronics,Central,Priya,10,2466,24660
1067,2026-06-05,Monitor,Electronics,North,Karan,10,12944,129440
1068,2026-03-01,Smartwatch,Electronics,South,Aman,3,5932,17796
1069,2026-03-20,Headphones,Electronics,West,Vikas,7,1888,13216
1070,2026-08-10,Printer,Electronics,South,Neha,3,11243,33729
1071,2026-02-06,Smartwatch,Electronics,South,Neha,2,6201,12402
1072,2026-08-09,Keyboard,Electronics,North,Karan,10,1041,10410
1073,2026-01-22,Mobile,Electronics,North,Anjali,4,43195,172780
1074,2026-07-15,Keyboard,Electronics,North,Karan,8,1786,14288
1075,2026-05-28,Smartwatch,Electronics,North,Karan,9,12416,111744
1076,2026-04-06,Speaker,Electronics,Central,Karan,7,8204,57428
1077,2026-08-16,Printer,Electronics,North,Rohit,1,27806,27806
1078,2026-08-30,Printer,Electronics,Central,Aman,3,16984,50952
1079,2026-03-09,Laptop,Electronics,Central,Priya,9,46759,420831
1080,2026-08-07,Printer,Electronics,North,Aman,1,16181,16181
1081,2026-07-11,Headphones,Electronics,East,Anjali,9,3462,31158
1082,2026-01-17,Printer,Electronics,West,Rahul,8,9482,75856
1083,2026-01-12,Smartwatch,Electronics,South,Karan,1,10558,10558
1084,2026-05-30,Laptop,Electronics,Central,Aman,6,45951,275706
1085,2026-05-25,Smartwatch,Electronics,West,Anjali,5,11414,57070
1086,2026-05-18,Smartwatch,Electronics,East,Rahul,6,14081,84486
1087,2026-04-28,Tablet,Electronics,South,Rahul,10,17079,170790
1088,2026-07-12,Laptop,Electronics,South,Karan,5,47717,238585
1089,2026-01-22,Smartwatch,Electronics,Central,Priya,6,13024,78144
1090,2026-08-06,Tablet,Electronics,North,Vikas,5,42952,214760
1091,2026-04-30,Tablet,Electronics,East,Rohit,5,35908,179540
1092,2026-07-29,Laptop,Electronics,Central,Aman,4,54692,218768
1093,2026-02-19,Keyboard,Electronics,East,Rahul,3,985,2955
1094,2026-01-14,Speaker,Electronics,North,Aman,3,8811,26433
1095,2026-07-11,Headphones,Electronics,North,Vikas,4,4695,18780
1096,2026-06-24,Speaker,Electronics,Central,Rohit,9,8686,78174
1097,2026-01-29,Printer,Electronics,North,Vikas,2,25449,50898
1098,2026-07-23,Headphones,Electronics,West,Rohit,9,1968,17712
1099,2026-06-13,Printer,Electronics,South,Neha,1,12490,12490
1100,2026-08-15,Smartwatch,Electronics,Central,Rohit,1,13749,13749
1101,2026-06-29,Mobile,Electronics,East,Karan,5,40865,204325
1102,2026-05-05,Laptop,Electronics,West,Priya,6,51645,309870
1103,2026-07-23,Headphones,Electronics,Central,Vikas,6,6283,37698
1104,2026-01-07,Headphones,Electronics,North,Rahul,3,6432,19296
1105,2026-01-29,Smartwatch,Electronics,North,Karan,7,12853,89971
1106,2026-05-19,Keyboard,Electronics,North,Neha,9,2401,21609
1107,2026-02-02,Tablet,Electronics,North,Priya,10,40522,405220
1108,2026-05-14,Smartwatch,Electronics,East,Aman,8,7426,59408
1109,2026-04-21,Mouse,Electronics,West,Karan,6,1687,10122
1110,2026-03-20,Tablet,Electronics,South,Vikas,8,27342,218736
1111,2026-06-09,Laptop,Electronics,East,Anjali,5,53038,265190
1112,2026-06-28,Tablet,Electronics,East,Anjali,8,31002,248016
1113,2026-07-22,Keyboard,Electronics,South,Rahul,10,1499,14990
1114,2026-02-27,Tablet,Electronics,South,Rohit,4,19873,79492
1115,2026-08-03,Laptop,Electronics,North,Rahul,10,46481,464810
1116,2026-01-26,Keyboard,Electronics,East,Anjali,8,2601,20808
1117,2026-08-14,Speaker,Electronics,Central,Aman,10,7805,78050
1118,2026-06-23,Headphones,Electronics,South,Neha,2,4651,9302
1119,2026-08-14,Headphones,Electronics,South,Neha,5,5264,26320
1120,2026-01-29,Printer,Electronics,West,Vikas,9,21422,192798
1121,2026-01-04,Speaker,Electronics,Central,Neha,4,1554,6216
1122,2026-07-28,Speaker,Electronics,Central,Vikas,6,9143,54858
1123,2026-04-09,Tablet,Electronics,South,Karan,1,41399,41399
1124,2026-05-21,Headphones,Electronics,North,Vikas,9,6497,58473
1125,2026-08-21,Laptop,Electronics,West,Karan,1,64846,64846
1126,2026-02-08,Monitor,Electronics,Central,Vikas,5,23708,118540
1127,2026-01-15,Monitor,Electronics,South,Anjali,4,19271,77084
1128,2026-04-29,Keyboard,Electronics,Central,Anjali,3,1532,4596
1129,2026-01-29,Headphones,Electronics,West,Rohit,6,5608,33648
1130,2026-06-06,Headphones,Electronics,West,Karan,2,4006,8012
1131,2026-03-16,Monitor,Electronics,East,Priya,3,22295,66885
1132,2026-04-26,Headphones,Electronics,South,Karan,5,7302,36510
1133,2026-02-01,Tablet,Electronics,West,Vikas,9,25682,231138
1134,2026-05-10,Mouse,Electronics,East,Vikas,2,727,1454
1135,2026-06-24,Mobile,Electronics,East,Priya,10,43480,434800
1136,2026-07-25,Speaker,Electronics,Central,Rahul,8,4810,38480
1137,2026-03-25,Printer,Electronics,Central,Vikas,2,10300,20600
1138,2026-01-22,Keyboard,Electronics,East,Rohit,5,3326,16630
1139,2026-07-22,Mouse,Electronics,Central,Neha,7,1474,10318
1140,2026-01-27,Monitor,Electronics,West,Neha,8,11054,88432
1141,2026-07-14,Speaker,Electronics,North,Aman,1,9470,9470
1142,2026-03-22,Headphones,Electronics,West,Aman,6,3343,20058
1143,2026-05-06,Printer,Electronics,East,Neha,1,28591,28591
1144,2026-08-24,Headphones,Electronics,East,Neha,2,2511,5022
1145,2026-07-03,Laptop,Electronics,West,Anjali,1,72767,72767
1146,2026-04-02,Laptop,Electronics,Central,Rohit,5,60149,300745
1147,2026-08-09,Printer,Electronics,Central,Priya,10,25922,259220
1148,2026-01-21,Printer,Electronics,East,Aman,9,19175,172575
1149,2026-02-16,Monitor,Electronics,South,Anjali,6,16356,98136
1150,2026-07-27,Printer,Electronics,Central,Anjali,1,29996,29996
1151,2026-04-11,Tablet,Electronics,West,Priya,1,36389,36389
1152,2026-07-06,Headphones,Electronics,Central,Anjali,2,2022,4044
1153,2026-03-25,Mouse,Electronics,West,Karan,9,1343,12087
1154,2026-01-06,Smartwatch,Electronics,East,Rohit,3,8650,25950
1155,2026-05-27,Printer,Electronics,Central,Neha,1,11425,11425
1156,2026-07-04,Keyboard,Electronics,West,Vikas,5,1474,7370
1157,2026-07-16,Laptop,Electronics,East,Priya,7,61032,427224
1158,2026-05-11,Tablet,Electronics,South,Neha,6,17198,103188
1159,2026-01-01,Speaker,Electronics,West,Neha,1,5742,5742
1160,2026-02-27,Smartwatch,Electronics,South,Rahul,5,6195,30975
1161,2026-05-04,Mouse,Electronics,South,Karan,5,1314,6570
1162,2026-06-15,Smartwatch,Electronics,North,Priya,6,3808,22848
1163,2026-01-15,Printer,Electronics,Central,Anjali,3,27561,82683
